2023.05.13 00:12:58 [6ccc,9610] | displayevent 0 
2023.05.13 00:13:03 [6ccc,9610] | disconnect 
2023.05.13 00:13:04 [6ccc,f930] | thread exit 
2023.05.13 00:13:04 [6ccc,9610] | portclose 
2023.05.13 01:40:55 [6ccc,9610] | protocol ctor 
2023.05.13 01:40:55 [6ccc,9610] | disconnect 
2023.05.13 01:40:55 [6ccc,9610] | is stopped 
2023.05.13 01:40:55 [6ccc,9610] | SSL connect: 192.168.2.12:4050 
2023.05.13 15:08:23 [3784,2a70] | MONERA ZVT Terminal Library LAN 02.00 
2023.05.13 15:08:23 [3784,2a70] | OpenSSL 1.1.1l  24 Aug 2021 
2023.05.13 15:08:23 [3784,2a70] | protocol ctor 
2023.05.13 15:08:23 [3784,2a70] | disconnect 
2023.05.13 15:08:23 [3784,2a70] | is stopped 
2023.05.13 15:08:23 [3784,2a70] | SSL connect: 192.168.2.12:4050 
2023.05.13 15:08:25 [3784,2a70] | start thread 
2023.05.13 15:08:25 [3784,2a70] | payment 1000 
2023.05.13 15:08:25 [3784,2a70] | displayevent 0 
2023.05.13 15:08:25 [3784,2a70] | displayevent 1 
2023.05.13 15:08:36 [3784,2a70] | displayevent 0 
2023.05.13 15:08:41 [3784,2a70] | printer event 
2023.05.13 15:08:42 [3784,2a70] | disconnect 
2023.05.13 15:08:42 [3784,4e04] | thread exit 
2023.05.13 15:08:42 [3784,2a70] | portclose 
2023.05.13 15:09:07 [3784,4e24] | protocol ctor 
2023.05.13 15:09:07 [3784,4e24] | disconnect 
2023.05.13 15:09:07 [3784,4e24] | is stopped 
2023.05.13 15:09:07 [3784,4e24] | SSL connect: 192.168.2.12:4050 
2023.05.13 15:09:08 [3784,4e24] | start thread 
2023.05.13 15:09:08 [3784,4e24] | cancellation 
2023.05.13 15:09:08 [3784,4e24] | displayevent 0 
2023.05.13 15:09:11 [3784,4e24] | disconnect 
2023.05.13 15:09:11 [3784,10658] | thread exit 
2023.05.13 15:09:11 [3784,4e24] | portclose 
2023.05.13 15:09:21 [3784,4e24] | protocol ctor 
2023.05.13 15:09:21 [3784,4e24] | disconnect 
2023.05.13 15:09:21 [3784,4e24] | is stopped 
2023.05.13 15:09:21 [3784,4e24] | SSL connect: 192.168.2.12:4050 
2023.05.13 15:09:21 [3784,4e24] | start thread 
2023.05.13 15:09:22 [3784,4e24] | payment 1200 
2023.05.13 15:09:22 [3784,4e24] | displayevent 0 
2023.05.13 15:09:22 [3784,4e24] | displayevent 1 
2023.05.13 15:09:32 [3784,4e24] | displayevent 0 
2023.05.13 15:09:37 [3784,4e24] | printer event 
2023.05.13 15:09:38 [3784,4e24] | disconnect 
2023.05.13 15:09:38 [3784,c244] | thread exit 
2023.05.13 15:09:38 [3784,4e24] | portclose 
2023.05.13 15:09:56 [3784,828c] | protocol ctor 
2023.05.13 15:09:56 [3784,828c] | disconnect 
2023.05.13 15:09:56 [3784,828c] | is stopped 
2023.05.13 15:09:56 [3784,828c] | SSL connect: 192.168.2.12:4050 
2023.05.13 15:09:57 [3784,828c] | start thread 
2023.05.13 15:09:57 [3784,828c] | cancellation 
